order_id,created_at,order_value,items_count,estimated_prep_time,estimated_delivery_time,customer_lat,customer_lon,order_status,restaurant_id,weather_level,traffic_level
21,2026-01-06 15:56:14,35.88,3,18,17,43.267049,-2.908255,DELIVERED,3,WIND,LOW
22,2026-01-30 21:17:12,19.56,1,36,15,43.297784,-2.950546,DELIVERED,18,CLEAR,MEDIUM
23,2026-01-23 01:47:02,82.4,6,23,20,43.220521,-2.89872,DELIVERED,14,CLEAR,HIGH
24,2026-01-29 22:22:08,34.88,2,28,18,43.278843,-2.925226,DELIVERED,10,CLEAR,HIGH
25,2026-01-26 12:56:02,50.75,4,18,18,43.261511,-2.910003,DELIVERED,5,CLEAR,LOW
26,2026-01-22 12:47:15,54.2,3,24,19,43.232519,-2.880591,DELIVERED,6,CLEAR,LOW
27,2026-01-21 21:13:06,16.15,1,26,30,43.282742,-2.94614,DELIVERED,45,RAIN,HIGH
28,2026-01-24 00:33:43,18.98,1,20,20,43.256159,-2.953739,DELIVERED,6,CLEAR,MEDIUM
29,2026-01-28 00:38:55,57.62,6,9,15,43.218141,-2.974242,DELIVERED,43,CLEAR,LOW
30,2026-01-18 23:08:35,44.24,5,19,21,43.22721,-2.917187,DELIVERED,21,CLEAR,MEDIUM
31,2026-01-25 20:55:36,19.89,1,26,16,43.298445,-2.983974,DELIVERED,28,CLEAR,MEDIUM
32,2026-01-21 21:44:58,74.67,5,31,24,43.245975,-2.981435,DELIVERED,25,RAIN,HIGH
33,2026-01-20 15:53:48,22.66,2,15,20,43.258887,-2.932364,DELIVERED,21,RAIN,MEDIUM
34,2026-01-09 03:53:19,14.21,1,13,20,43.223627,-2.973891,DELIVERED,41,CLEAR,LOW
35,2026-01-04 15:47:34,58.08,6,10,24,43.262722,-2.973395,DELIVERED,50,CLEAR,MEDIUM
36,2026-01-29 17:03:14,16.46,1,31,14,43.286425,-2.895918,DELIVERED,33,CLEAR,LOW
37,2026-01-02 23:47:41,56.01,6,8,19,43.283738,-2.881938,DELIVERED,37,CLEAR,MEDIUM
38,2026-01-02 21:36:13,48.91,4,31,28,43.259789,-2.903185,DELIVERED,29,CLEAR,HIGH
39,2026-01-17 04:23:41,21.25,2,12,19,43.2938,-2.955946,DELIVERED,43,WIND,LOW
40,2026-01-26 13:17:33,36.47,4,16,20,43.213757,-2.981512,DELIVERED,43,CLEAR,MEDIUM
41,2026-01-26 13:27:13,59.3,5,34,23,43.267636,-2.963872,DELIVERED,22,CLEAR,HIGH
42,2026-01-12 14:39:05,23.88,2,22,26,43.296627,-2.900142,DELIVERED,31,CLEAR,HIGH
43,2026-01-14 20:07:20,43.65,3,15,13,43.288463,-2.887648,DELIVERED,11,CLEAR,LOW
44,2026-01-04 23:04:38,39.2,3,29,17,43.282976,-2.913432,DELIVERED,2,WIND,MEDIUM
45,2026-01-30 20:55:57,20.39,1,24,24,43.22881,-2.956873,DELIVERED,6,CLEAR,MEDIUM
46,2026-01-28 21:58:43,53.92,3,27,31,43.297465,-2.982555,CANCELLED,10,CLEAR,HIGH
47,2026-01-31 11:58:20,78.82,6,18,25,43.268468,-2.88211,DELIVERED,38,RAIN,LOW
48,2026-01-07 13:06:52,40.33,4,15,19,43.254303,-2.962135,DELIVERED,50,CLEAR,MEDIUM
49,2026-01-18 20:46:24,60.71,6,17,28,43.292431,-2.93288,DELIVERED,26,CLEAR,HIGH
50,2026-01-21 21:41:37,70.62,5,32,22,43.244391,-2.940816,DELIVERED,12,CLEAR,MEDIUM
51,2026-01-03 18:49:37,43.44,4,11,17,43.206723,-2.904363,CANCELLED,41,CLEAR,MEDIUM
52,2026-01-02 13:43:53,44.1,4,19,31,43.227869,-2.884343,DELIVERED,44,WIND,HIGH
53,2026-01-28 06:23:46,29.9,3,12,22,43.285283,-2.940275,DELIVERED,50,RAIN,LOW
54,2026-01-31 22:58:27,64.34,5,28,18,43.236891,-2.901597,DELIVERED,24,CLEAR,HIGH
55,2026-01-04 13:55:32,56.14,6,19,21,43.286821,-2.898547,DELIVERED,21,CLEAR,HIGH
56,2026-01-11 22:41:30,39.08,3,29,24,43.250257,-2.97145,DELIVERED,34,RAIN,MEDIUM
57,2026-01-28 08:39:45,14.61,1,28,18,43.203029,-2.89221,DELIVERED,2,CLEAR,MEDIUM
58,2026-01-04 13:01:11,52.72,4,24,26,43.234537,-2.946141,DELIVERED,11,CLEAR,HIGH
59,2026-01-06 22:44:54,19.07,2,24,16,43.293375,-2.910676,DELIVERED,16,CLEAR,MEDIUM
60,2026-01-18 03:09:09,43.38,4,18,20,43.243093,-2.89293,DELIVERED,19,CLEAR,MEDIUM
61,2026-01-20 10:42:41,37.09,2,22,18,43.298909,-2.915156,DELIVERED,36,CLEAR,LOW
62,2026-01-03 04:46:56,38.19,3,18,18,43.231853,-2.946775,DELIVERED,46,RAIN,LOW
63,2026-01-31 13:08:29,31.21,3,22,25,43.262903,-2.921829,DELIVERED,31,WIND,HIGH
64,2026-01-12 18:10:46,13.35,1,18,13,43.277497,-2.888743,DELIVERED,45,CLEAR,LOW
65,2026-01-17 14:50:23,60.11,6,19,21,43.222487,-2.88298,DELIVERED,44,CLEAR,HIGH
66,2026-01-17 22:23:06,32.35,3,23,20,43.295531,-2.981307,CANCELLED,47,CLEAR,HIGH
67,2026-01-30 21:18:56,17.81,2,15,20,43.24724,-2.915069,DELIVERED,16,CLEAR,HIGH
68,2026-01-14 22:39:53,15.59,1,20,20,43.203634,-2.898018,DELIVERED,42,WIND,MEDIUM
69,2026-01-30 06:17:35,38.19,3,24,23,43.280881,-2.953625,DELIVERED,22,CLEAR,MEDIUM
70,2026-01-10 00:56:15,35.4,3,29,25,43.251528,-2.980459,DELIVERED,22,CLEAR,MEDIUM
71,2026-01-28 19:27:01,37.95,3,15,12,43.250252,-2.891537,DELIVERED,42,CLEAR,LOW
72,2026-01-06 10:43:57,89.32,5,25,18,43.26803,-2.911139,DELIVERED,36,CLEAR,LOW
73,2026-01-25 21:58:37,9.47,1,17,26,43.22179,-2.981967,CANCELLED,37,CLEAR,HIGH
74,2026-01-23 22:00:10,31.83,2,24,31,43.290677,-2.948679,DELIVERED,27,RAIN,HIGH
75,2026-01-08 12:43:46,12.92,1,12,16,43.259394,-2.940891,DELIVERED,47,CLEAR,MEDIUM
76,2026-01-20 12:40:23,23.12,2,16,25,43.267253,-2.954727,DELIVERED,35,RAIN,MEDIUM
77,2026-01-14 08:34:39,79.42,6,19,19,43.231873,-2.944204,DELIVERED,38,WIND,MEDIUM
78,2026-01-11 22:32:43,28.5,2,22,29,43.264671,-2.888555,DELIVERED,46,RAIN,HIGH
79,2026-01-10 05:55:37,82.58,6,23,19,43.255885,-2.937267,DELIVERED,25,CLEAR,LOW
80,2026-01-26 21:44:50,31.73,3,26,22,43.241393,-2.928122,DELIVERED,20,CLEAR,HIGH
81,2026-01-10 12:34:47,73.24,5,22,21,43.248862,-2.910409,DELIVERED,25,RAIN,LOW
82,2026-01-31 14:49:14,26.99,2,28,29,43.253221,-2.944753,CANCELLED,46,CLEAR,HIGH
83,2026-01-09 16:51:39,47.21,5,16,15,43.23969,-2.948964,DELIVERED,7,CLEAR,LOW
84,2026-01-11 23:08:33,106.25,6,22,26,43.200945,-2.971148,DELIVERED,6,WIND,MEDIUM
85,2026-01-16 06:24:04,74.57,5,21,17,43.25667,-2.896561,DELIVERED,14,CLEAR,MEDIUM
86,2026-01-17 18:57:19,40.15,2,25,22,43.227333,-2.880816,CANCELLED,28,RAIN,LOW
87,2026-01-04 13:38:29,75.92,4,29,21,43.244474,-2.906252,DELIVERED,10,RAIN,HIGH
88,2026-01-21 22:07:39,90.83,5,27,18,43.23878,-2.980683,DELIVERED,36,CLEAR,MEDIUM
89,2026-01-24 22:31:51,56.26,4,24,18,43.219555,-2.978233,DELIVERED,11,CLEAR,MEDIUM
90,2026-01-16 23:56:38,108.57,6,26,18,43.296457,-2.88344,DELIVERED,28,WIND,LOW
91,2026-01-27 16:54:43,44.38,4,18,16,43.213918,-2.956688,DELIVERED,47,WIND,LOW
92,2026-01-04 14:10:32,57.39,4,31,24,43.235953,-2.891495,DELIVERED,39,CLEAR,HIGH
93,2026-01-30 17:49:17,78.65,6,19,22,43.225874,-2.933826,CANCELLED,42,CLEAR,HIGH
94,2026-01-29 13:45:25,54.36,3,23,24,43.278427,-2.932677,DELIVERED,10,WIND,HIGH
95,2026-01-22 23:08:21,14.79,1,15,16,43.274049,-2.933241,DELIVERED,20,RAIN,LOW
96,2026-01-21 23:28:23,71.44,5,18,18,43.270376,-2.902439,DELIVERED,48,RAIN,LOW
97,2026-01-06 12:46:01,71.11,5,19,21,43.284552,-2.92209,DELIVERED,32,WIND,LOW
98,2026-01-07 12:03:37,26.13,3,14,16,43.257481,-2.943466,DELIVERED,16,CLEAR,LOW
99,2026-01-22 21:27:15,19.07,1,42,21,43.283989,-2.936243,DELIVERED,23,CLEAR,MEDIUM
100,2026-01-21 15:20:28,27.6,2,15,20,43.211739,-2.900692,DELIVERED,42,CLEAR,HIGH
101,2026-01-03 21:09:24,41.83,3,23,23,43.251441,-2.890983,DELIVERED,35,CLEAR,MEDIUM
102,2026-01-22 22:36:30,12.56,1,19,25,43.286891,-2.896812,DELIVERED,50,CLEAR,HIGH
103,2026-01-26 22:38:58,36.27,2,30,24,43.289415,-2.906152,DELIVERED,28,CLEAR,MEDIUM
104,2026-01-23 07:27:05,53.42,4,20,23,43.287442,-2.893575,DELIVERED,11,CLEAR,HIGH
105,2026-01-09 00:51:02,31.43,3,11,18,43.21327,-2.965119,DELIVERED,41,RAIN,MEDIUM
106,2026-01-24 04:33:40,14.51,1,19,19,43.275316,-2.975354,DELIVERED,25,RAIN,LOW
107,2026-01-08 23:12:34,21.29,2,17,17,43.208669,-2.978949,DELIVERED,47,CLEAR,LOW
108,2026-01-15 15:26:49,68.17,5,22,13,43.211274,-2.935046,DELIVERED,39,CLEAR,LOW
109,2026-01-28 14:12:40,77.9,6,17,25,43.221574,-2.888516,CANCELLED,35,CLEAR,HIGH
110,2026-01-21 13:30:03,108.22,6,25,25,43.215538,-2.954057,DELIVERED,6,CLEAR,HIGH
111,2026-01-12 14:01:57,70.44,4,29,17,43.27015,-2.971978,DELIVERED,6,CLEAR,HIGH
112,2026-01-13 14:02:40,113.09,6,36,26,43.226295,-2.882744,DELIVERED,9,RAIN,MEDIUM
113,2026-01-18 11:34:29,16.82,2,12,20,43.22284,-2.934029,DELIVERED,37,CLEAR,LOW
114,2026-01-23 21:38:44,38.42,2,33,24,43.272029,-2.960162,DELIVERED,10,WIND,HIGH
115,2026-01-03 13:22:03,13.72,1,27,22,43.220067,-2.927981,CANCELLED,34,WIND,MEDIUM
116,2026-01-12 21:35:36,17.72,1,18,15,43.272722,-2.978566,DELIVERED,27,CLEAR,MEDIUM
117,2026-01-07 21:52:37,20.16,1,32,30,43.250543,-2.919906,DELIVERED,6,WIND,HIGH
118,2026-01-16 20:06:38,40.24,2,31,11,43.216437,-2.938734,DELIVERED,18,CLEAR,LOW
119,2026-01-06 19:42:33,28.32,3,16,22,43.29684,-2.946413,DELIVERED,44,RAIN,MEDIUM
120,2026-01-09 10:34:14,38.76,4,16,14,43.283037,-2.881918,CANCELLED,26,CLEAR,MEDIUM
121,2026-01-04 15:21:59,23.03,2,21,17,43.246099,-2.971521,CANCELLED,5,WIND,LOW
122,2026-01-19 13:54:43,42.24,3,27,22,43.249889,-2.892894,DELIVERED,12,CLEAR,MEDIUM
123,2026-01-19 14:14:42,87.05,6,25,34,43.278144,-2.952156,DELIVERED,13,RAIN,HIGH
124,2026-01-11 15:10:37,29.24,3,13,26,43.210013,-2.917745,DELIVERED,50,CLEAR,HIGH
125,2026-01-19 20:32:42,31.9,2,25,19,43.270056,-2.885769,CANCELLED,12,CLEAR,LOW
126,2026-01-24 19:23:59,21.82,2,18,19,43.213049,-2.911137,DELIVERED,4,CLEAR,LOW
127,2026-01-04 12:30:19,36.58,4,8,16,43.296066,-2.91859,DELIVERED,43,CLEAR,LOW
128,2026-01-09 12:17:58,58.01,6,17,19,43.299428,-2.88383,DELIVERED,47,CLEAR,LOW
129,2026-01-28 10:54:49,28.77,2,18,12,43.296308,-2.899617,DELIVERED,32,CLEAR,LOW
130,2026-01-19 05:18:41,44.3,5,12,14,43.226113,-2.97848,CANCELLED,31,CLEAR,MEDIUM
131,2026-01-05 12:28:29,51.23,4,17,21,43.233109,-2.882816,DELIVERED,40,RAIN,LOW
132,2026-01-14 15:59:53,10.93,1,10,15,43.208763,-2.899371,CANCELLED,7,CLEAR,LOW
133,2026-01-13 20:45:09,48.96,4,17,14,43.22634,-2.897921,DELIVERED,35,CLEAR,MEDIUM
134,2026-01-05 16:40:00,89.82,5,28,21,43.268707,-2.887,DELIVERED,23,CLEAR,MEDIUM
135,2026-01-21 13:16:03,39.18,4,21,26,43.206701,-2.947309,DELIVERED,44,CLEAR,HIGH
136,2026-01-21 08:51:44,41.72,2,19,13,43.286748,-2.893185,DELIVERED,10,CLEAR,MEDIUM
137,2026-01-24 13:44:50,11.95,1,26,19,43.233149,-2.963866,DELIVERED,31,CLEAR,HIGH
138,2026-01-16 13:50:19,64.69,5,25,21,43.251527,-2.972513,DELIVERED,27,CLEAR,MEDIUM
139,2026-01-13 02:40:38,34.59,3,20,20,43.224194,-2.936233,DELIVERED,4,RAIN,LOW
140,2026-01-13 13:21:38,11.3,1,25,24,43.220673,-2.918325,DELIVERED,45,CLEAR,HIGH
141,2026-01-11 20:42:39,61.39,6,13,24,43.230215,-2.93273,DELIVERED,20,WIND,MEDIUM
142,2026-01-24 09:15:57,111.25,6,32,14,43.251729,-2.963567,DELIVERED,18,CLEAR,LOW
143,2026-01-13 13:21:04,39.24,2,28,28,43.288684,-2.949115,DELIVERED,36,WIND,HIGH
144,2026-01-23 20:12:53,51.78,5,12,20,43.238167,-2.957181,DELIVERED,41,CLEAR,MEDIUM
145,2026-01-17 15:14:21,35.44,4,8,21,43.217682,-2.920205,DELIVERED,37,CLEAR,MEDIUM
146,2026-01-20 13:59:14,39.85,4,20,25,43.200412,-2.909304,CANCELLED,31,CLEAR,HIGH
147,2026-01-05 23:39:49,39.39,3,18,21,43.268678,-2.975283,DELIVERED,38,CLEAR,MEDIUM
148,2026-01-20 13:59:07,58.18,6,17,17,43.264032,-2.905163,DELIVERED,15,WIND,MEDIUM
149,2026-01-01 23:00:02,52.02,4,16,12,43.268574,-2.988976,DELIVERED,8,CLEAR,LOW
150,2026-01-30 23:40:13,17.22,1,17,21,43.240976,-2.972359,DELIVERED,8,CLEAR,MEDIUM
151,2026-01-01 03:11:24,17.19,1,19,24,43.264434,-2.939757,DELIVERED,6,RAIN,MEDIUM
152,2026-01-06 15:02:04,12.18,1,10,15,43.295509,-2.960486,DELIVERED,49,CLEAR,LOW
153,2026-01-09 21:03:29,44.81,4,31,32,43.213251,-2.910095,DELIVERED,26,CLEAR,HIGH
154,2026-01-28 14:52:01,68.23,5,33,26,43.241128,-2.984943,DELIVERED,12,CLEAR,HIGH
155,2026-01-31 00:18:02,57.41,6,10,12,43.255834,-2.881343,DELIVERED,43,CLEAR,LOW
156,2026-01-08 14:50:01,37.93,4,21,24,43.264332,-2.94564,DELIVERED,31,RAIN,MEDIUM
157,2026-01-01 20:42:09,11.73,1,14,19,43.289011,-2.928143,DELIVERED,27,CLEAR,LOW
158,2026-01-06 12:50:48,21.07,2,13,14,43.237389,-2.978305,DELIVERED,43,CLEAR,LOW
159,2026-01-20 20:45:54,25.14,2,16,24,43.275715,-2.984885,DELIVERED,40,CLEAR,HIGH
160,2026-01-09 14:27:20,87.26,6,35,30,43.291591,-2.906139,DELIVERED,12,RAIN,MEDIUM
161,2026-01-25 20:51:59,65.48,5,20,21,43.229058,-2.952018,DELIVERED,45,RAIN,MEDIUM
162,2026-01-31 22:00:57,44.54,3,25,31,43.25339,-2.893478,DELIVERED,8,CLEAR,HIGH
163,2026-01-03 13:49:30,42.29,3,23,19,43.203231,-2.900457,DELIVERED,13,RAIN,MEDIUM
164,2026-01-03 14:41:02,30.96,2,24,31,43.236774,-2.925278,DELIVERED,17,CLEAR,HIGH
165,2026-01-04 14:45:45,85.43,6,34,19,43.225502,-2.953638,DELIVERED,12,CLEAR,HIGH
166,2026-01-15 14:52:14,45.54,5,14,24,43.215937,-2.930261,DELIVERED,37,CLEAR,HIGH
167,2026-01-01 10:15:25,77.35,4,29,14,43.279621,-2.977529,DELIVERED,23,CLEAR,MEDIUM
168,2026-01-31 10:25:47,55.39,6,7,22,43.215375,-2.939485,DELIVERED,43,RAIN,MEDIUM
169,2026-01-03 15:13:36,70.29,5,15,21,43.243303,-2.988142,DELIVERED,17,CLEAR,MEDIUM
170,2026-01-31 00:25:45,70.86,5,22,15,43.230135,-2.980484,DELIVERED,48,CLEAR,MEDIUM
171,2026-01-26 21:32:05,56.36,4,28,31,43.201115,-2.893776,DELIVERED,48,RAIN,HIGH
172,2026-01-25 21:10:01,26.92,2,31,23,43.207314,-2.916115,DELIVERED,12,CLEAR,MEDIUM
173,2026-01-12 09:15:02,13.61,1,17,24,43.215239,-2.927645,DELIVERED,40,WIND,LOW
174,2026-01-30 10:46:20,39.87,2,32,15,43.284959,-2.920521,DELIVERED,18,RAIN,LOW
175,2026-01-29 14:56:04,21.17,2,23,27,43.280654,-2.922456,DELIVERED,19,CLEAR,HIGH
176,2026-01-02 23:05:33,26.34,2,17,18,43.236125,-2.938336,DELIVERED,32,CLEAR,LOW
177,2026-01-16 17:34:12,72.11,6,22,29,43.23653,-2.918133,DELIVERED,34,RAIN,MEDIUM
178,2026-01-12 03:57:31,39.9,3,18,11,43.241461,-2.953675,DELIVERED,42,CLEAR,LOW
179,2026-01-20 22:43:56,27.04,2,19,13,43.218004,-2.884594,DELIVERED,3,CLEAR,MEDIUM
180,2026-01-11 12:20:58,38.81,4,18,22,43.25108,-2.971551,DELIVERED,31,CLEAR,MEDIUM
181,2026-01-09 14:42:42,62.03,5,17,28,43.260347,-2.898973,DELIVERED,40,CLEAR,HIGH
182,2026-01-19 12:10:21,84.04,6,24,13,43.208382,-2.924188,DELIVERED,48,CLEAR,LOW
183,2026-01-15 21:16:36,58.91,6,13,20,43.250834,-2.903531,DELIVERED,50,CLEAR,MEDIUM
184,2026-01-19 00:03:15,74.91,6,18,25,43.205746,-2.904903,DELIVERED,3,CLEAR,HIGH
185,2026-01-01 12:28:42,47.8,5,11,13,43.267402,-2.950429,DELIVERED,43,CLEAR,LOW
186,2026-01-17 21:33:37,41.44,2,34,17,43.210646,-2.982038,DELIVERED,18,CLEAR,MEDIUM
187,2026-01-28 21:47:59,52.06,4,36,29,43.286202,-2.936983,DELIVERED,29,CLEAR,HIGH
188,2026-01-05 12:21:49,43.81,3,20,23,43.294712,-2.914858,DELIVERED,48,CLEAR,HIGH
189,2026-01-13 21:13:10,32.23,2,20,38,43.276424,-2.930438,DELIVERED,13,RAIN,HIGH
190,2026-01-07 05:25:02,72.78,4,27,23,43.212037,-2.932997,DELIVERED,28,WIND,LOW
191,2026-01-05 21:22:47,36.16,3,25,18,43.221053,-2.912922,DELIVERED,40,CLEAR,MEDIUM
192,2026-01-14 13:47:31,22.51,2,20,28,43.219606,-2.901996,DELIVERED,37,WIND,HIGH
193,2026-01-09 13:45:44,112.28,6,36,30,43.23984,-2.91404,DELIVERED,9,CLEAR,HIGH
194,2026-01-13 12:15:34,15.84,1,14,22,43.228461,-2.95424,DELIVERED,27,CLEAR,MEDIUM
195,2026-01-14 21:49:26,37.37,2,32,17,43.222822,-2.955143,DELIVERED,10,CLEAR,HIGH
196,2026-01-04 21:16:55,11.79,1,19,26,43.208325,-2.96113,DELIVERED,26,CLEAR,HIGH
197,2026-01-19 22:12:13,53.05,6,22,16,43.286037,-2.954228,DELIVERED,16,CLEAR,HIGH
198,2026-01-26 21:54:12,73.53,4,39,21,43.200009,-2.900308,DELIVERED,23,CLEAR,HIGH
199,2026-01-26 23:26:07,60.38,4,20,15,43.218857,-2.892962,DELIVERED,32,CLEAR,MEDIUM
200,2026-01-15 01:24:10,51.94,5,12,13,43.253497,-2.969547,CANCELLED,30,CLEAR,MEDIUM
201,2026-01-12 07:14:38,60.29,4,17,15,43.279142,-2.953673,DELIVERED,1,CLEAR,LOW
202,2026-01-20 01:12:16,22.54,2,18,12,43.271468,-2.947672,DELIVERED,31,CLEAR,MEDIUM
203,2026-01-05 13:28:18,61.49,4,25,28,43.248123,-2.957131,DELIVERED,14,CLEAR,HIGH
204,2026-01-16 18:05:08,88.07,5,27,24,43.215499,-2.905212,DELIVERED,18,CLEAR,MEDIUM
205,2026-01-31 08:19:55,106.86,6,31,13,43.255835,-2.919089,DELIVERED,23,CLEAR,LOW
206,2026-01-24 13:25:04,56.53,3,31,26,43.286766,-2.924145,DELIVERED,36,CLEAR,HIGH
207,2026-01-23 01:02:25,48.15,5,17,15,43.223879,-2.91069,DELIVERED,41,CLEAR,LOW
208,2026-01-16 15:51:22,7.35,1,14,14,43.248537,-2.979137,DELIVERED,21,CLEAR,MEDIUM
209,2026-01-13 10:11:24,55.37,5,13,21,43.263892,-2.950298,DELIVERED,15,RAIN,LOW
210,2026-01-13 21:41:51,9.73,1,20,22,43.219312,-2.917744,DELIVERED,47,RAIN,MEDIUM
211,2026-01-28 23:44:43,59.33,6,11,23,43.265753,-2.931271,DELIVERED,30,CLEAR,MEDIUM
212,2026-01-22 23:05:17,12.77,1,20,24,43.222189,-2.895871,DELIVERED,26,RAIN,HIGH
213,2026-01-27 21:03:51,45.85,5,16,18,43.281107,-2.97989,DELIVERED,37,CLEAR,MEDIUM
214,2026-01-15 13:59:00,40.17,4,19,18,43.222672,-2.918194,DELIVERED,37,CLEAR,MEDIUM
215,2026-01-19 13:37:46,12.61,1,29,18,43.299737,-2.883186,DELIVERED,34,CLEAR,HIGH
216,2026-01-17 07:39:51,52.68,6,12,16,43.213038,-2.975164,DELIVERED,37,CLEAR,LOW
217,2026-01-21 21:03:46,9.92,1,17,25,43.276968,-2.971382,DELIVERED,37,CLEAR,HIGH
218,2026-01-22 09:10:37,23.83,2,8,11,43.224305,-2.92169,DELIVERED,15,CLEAR,LOW
219,2026-01-23 20:58:35,86.19,6,23,18,43.272992,-2.974452,DELIVERED,14,CLEAR,LOW
220,2026-01-26 13:45:55,15.94,1,25,26,43.266037,-2.917072,CANCELLED,11,CLEAR,HIGH
221,2026-01-26 19:18:46,73.7,5,16,21,43.274439,-2.987979,DELIVERED,13,WIND,MEDIUM
222,2026-01-14 14:26:58,49.06,4,34,19,43.242646,-2.955638,DELIVERED,22,CLEAR,MEDIUM
223,2026-01-16 09:54:35,77.04,6,19,10,43.288013,-2.944456,DELIVERED,35,CLEAR,LOW
224,2026-01-10 02:57:30,14.13,1,27,30,43.268738,-2.950481,DELIVERED,12,RAIN,MEDIUM
225,2026-01-11 23:37:38,8.78,1,13,28,43.29271,-2.881581,CANCELLED,49,WIND,HIGH
226,2026-01-22 22:09:47,27.88,2,27,30,43.20493,-2.95797,DELIVERED,3,CLEAR,HIGH
227,2026-01-14 21:06:52,56.14,3,32,25,43.250066,-2.970225,DELIVERED,28,CLEAR,MEDIUM
228,2026-01-22 21:19:12,55.06,5,17,31,43.212354,-2.977442,DELIVERED,30,RAIN,HIGH
229,2026-01-19 11:26:21,38.2,3,21,15,43.205131,-2.956113,DELIVERED,11,CLEAR,MEDIUM
230,2026-01-10 20:20:21,28.99,3,14,10,43.249347,-2.966144,DELIVERED,49,CLEAR,LOW
231,2026-01-27 13:41:57,49.48,5,19,17,43.283801,-2.957171,DELIVERED,41,RAIN,MEDIUM
232,2026-01-09 15:40:27,52.58,5,20,17,43.236019,-2.986058,DELIVERED,19,CLEAR,MEDIUM
233,2026-01-07 12:45:25,57.57,3,31,10,43.272973,-2.920812,DELIVERED,18,CLEAR,LOW
234,2026-01-14 22:35:50,27.83,3,24,29,43.24925,-2.97021,DELIVERED,21,CLEAR,HIGH
235,2026-01-01 01:50:30,59.66,6,14,25,43.256042,-2.919875,DELIVERED,30,RAIN,MEDIUM
236,2026-01-25 14:20:10,10.17,1,14,15,43.233794,-2.916028,DELIVERED,50,CLEAR,MEDIUM
237,2026-01-01 21:48:30,30.83,3,18,25,43.284241,-2.927192,DELIVERED,44,RAIN,HIGH
238,2026-01-22 13:02:03,46.87,5,25,18,43.209825,-2.88195,DELIVERED,31,CLEAR,MEDIUM
239,2026-01-26 08:34:33,8.7,1,13,12,43.265898,-2.955627,DELIVERED,20,CLEAR,MEDIUM
240,2026-01-14 06:48:36,60.8,5,15,14,43.270435,-2.958841,DELIVERED,40,CLEAR,LOW
241,2026-01-07 07:32:49,11.41,1,11,19,43.262947,-2.914086,DELIVERED,44,CLEAR,LOW
242,2026-01-26 21:33:17,40.42,4,23,16,43.264442,-2.905686,DELIVERED,49,CLEAR,MEDIUM
243,2026-01-30 22:47:22,48.64,4,31,26,43.247533,-2.951342,CANCELLED,24,CLEAR,HIGH
244,2026-01-25 15:48:15,17.34,1,18,22,43.223858,-2.963194,DELIVERED,46,CLEAR,MEDIUM
245,2026-01-17 12:57:38,62.54,5,17,29,43.266261,-2.981432,DELIVERED,45,CLEAR,HIGH
246,2026-01-09 13:15:27,12.77,1,31,24,43.206148,-2.966063,DELIVERED,26,CLEAR,HIGH
247,2026-01-29 06:55:34,70.5,4,29,20,43.235924,-2.895263,DELIVERED,33,RAIN,MEDIUM
